Crypto Name,Price,24H Change,24H Volume,Market cap
BTC,"$17,306.71",+0.34%,$12.88 B,$331.77 B
ETH,"$1,289.81",+1.01%,$3.19 B,$156.4 B
USDT,$1.02,+0.15%,$16.44 B,$65.82 B
BNB,$294.35,+1.24%,$460.63 M,$46.5 B
USDC,$1.00,+0.05%,$1.21 B,$42.77 B
BUSD,$1.00,+0.14%,$3.93 B,$22.19 B
XRP,$0.3921,-0.10%,$319.61 M,$19.52 B
DOGE,$0.09823,+0.43%,$212.45 M,$12.87 B
ADA,$0.3172,+0.47%,$92.74 M,$10.79 B
MATIC,$0.9247,+0.95%,$120.14 M,$7.97 B
DOT,$5.35,+0.12%,$93.66 M,$6.05 B
DAI,$1.01,+0.18%,$101.73 M,$5.89 B
WTRX,$0.05488,+0.39%,"$846,684",$5.58 B
LTC,$78.64,+1.51%,$275.05 M,$5.57 B
SHIB,$0.00000942,+0.03%,$53.78 M,$5.07 B
TRX,$0.0549,-0.01%,$145.52 M,$5.05 B
SOL,$14.27,+0.17%,$100.46 M,$5 B
HEX,$0.02877,+0.93%,$1.73 M,$4.99 B
UNI,$6.20,-0.79%,$38.13 M,$4.65 B
stETH,"$1,229.41",-0.58%,$8.3 M,$4.29 B
AVAX,$13.60,+0.16%,$92.19 M,$4.17 B
LEO,$3.74,+0.04%,$1.24 M,$3.57 B
LINK,$7.02,+1.63%,$133.42 M,$3.52 B
WBTC,"$17,493.16",+0.35%,$37.08 M,$3.43 B
ATOM,$10.01,+1.60%,$166.07 M,$2.82 B
XMR,$149.97,+0.98%,$54.92 M,$2.73 B
ETC,$19.61,+1.10%,$66.78 M,$2.67 B
TON,$1.86,+1.11%,$28.14 M,$2.27 B
XLM,$0.0868,+0.01%,$30.3 M,$2.2 B
BCH,$111.43,+0.08%,$103.65 M,$2.11 B
ALGO,$0.232,+0.62%,$32.6 M,$1.63 B
CRO,$0.06464,-0.64%,$13.51 M,$1.62 B
APE,$4.28,+6.07%,$181.05 M,$1.53 B
FIL,$4.49,+0.43%,$42.69 M,$1.48 B
QNT,$122.28,-0.20%,$15.53 M,$1.45 B
NEAR,$1.73,+0.60%,$29.86 M,$1.43 B
VET,$0.01992,+1.28%,$35.4 M,$1.4 B
OKB,$21.26,-0.72%,$12.54 M,$1.28 B
ICP,$4.54,+3.11%,$13.7 M,$1.24 B
HBAR,$0.0511,+0.81%,$8.97 M,$1.21 B
EOS,$1.06,-0.85%,$111.14 M,$1.12 B
WBNB,$290.57,+1.33%,$37.84 M,$1.11 B
EGLD,$46.15,+0.27%,$16.76 M,$1.09 B
TWT,$2.58,+0.41%,$37.27 M,$1.07 B
FLOW,$1.05,+1.60%,$23 M,$1.07 B
FRAX,$0.9992,-0.19%,$3.34 M,$1.02 B
LUNC,$0.0001894,-0.40%,$52.98 M,$1.02 B
HT,$6.45,-0.44%,$8.62 M,$989.69 M
USDP,$1.00,+0.14%,"$750,114",$947.11 M
CHZ,$0.1532,+0.67%,$74.69 M,$925.79 M
